name,effect,ranking,score,risk,risk_category
화이트참파카잎오일,"화이트참파카잎오일은 미세한 주름 개선과 피부의 탄력 증진에 효과적이며, 향균 특성이 있어 피부 진정과 케어에 사용됩니다. 부드럽고 상큼한 향이 기분 전환에도 도움을 주지만, 민감한 피부에는 자극이 될 수 있으니 주의가 필요합니다.",[안전],1,민감성,자극
화이트참파카꽃오일,"화이트참파카꽃오일은 미셸리아 알바 꽃에서 추출된 오일로, 주로 향수와 고급 스킨케어 제품에 사용됩니다. 항산화 효과와 피부 진정, 보습에 도움을 주며, 부드러운 꽃 향기로 아로마테라피에도 활용됩니다. 특정 피부에 알레르기를 유발할 수 있습니다.",[안전],1,민감성,알레르기 유발
화이트웜우드잎오일,"화이트웜우드잎오일은 주로 항염, 항균 성분으로 알려져 있어 피부 진정, 트러블 완화에 효과적입니다. 또한 아로마테라피에 활용되며, 고유의 상쾌한 향이 심신 안정을 도와줍니다. 그러나 민감 피부에는 자극이 될 수 있으니 주의가 필요합니다.",,,민감성,자극
화이트웜우드오일,"화이트웜우드오일(Artemisia Herba-Alba Oil)은 주로 항산화 및 피부 진정 효과로 알려져 있습니다. 피부 염증을 완화하고 보습 효과가 뛰어나며, 항균 작용으로 여드름 완화에도 도움을 줄 수 있습니다. 민감 피부 사용 시 알러지 테스트가 권장됩니다.",[안전],1,민감성,알러지
화이트웜우드꽃추출물,"화이트웜우드꽃추출물은 피부 진정 및 항염 효과가 있어 민감한 피부 관리에 유용합니다. 또한 항산화 성분이 포함되어 있어 피부를 보호하고 개선하는 데 도움을 줍니다. 다만, 개인 피부에 따라 자극이 있을 수 있으니 테스트가 필요합니다.",,,민감성,자극
화이트우쿠바씨버터,"화이트우쿠바씨버터는 피부 보습과 유연성을 증진시키는 성분으로, 건조한 피부를 개선하는 데 도움을 줍니다. 주로 로션, 크림, 립밤 등에 사용되며 피부를 부드럽고 촉촉하게 유지하는 데 효과적입니다. 알레르기 반응은 드물지만 주의가 필요합니다.",,,건성,드물게 알레르기
화이트발삼추출물,"화이트발삼추출물(다두수리취 추출물)은 자극 완화 및 항염 효과로 피부 진정에 도움을 주며, 항산화 성분이 피부 노화 방지에 기여할 수 있습니다. 일반적으로 민감성 피부 제품에 사용되며, 큰 부작용 보고는 드뭅니다.",,,민감성,없음
화이트리프만자니타잎추출물,"화이트리프만자니타잎추출물은 피부 진정 및 보습에 탁월한 천연 성분으로, 항산화 작용을 통해 피부의 노화를 방지하는 데 도움이 됩니다. 또한, 민감성 피부에도 부작용이 적어 다양한 화장품에 활용됩니다.",,,민감성,없음
화이트루핀씨추출물,"화이트루핀씨추출물은 주로 피부 탄력 개선과 보습을 도와주는 성분으로 사용됩니다. 항산화 특성을 지니고 있어 피부 노화 방지에도 효과적입니다. 일반적으로 안전하지만, 민감성 피부의 경우 테스트 후 사용하는 것이 좋습니다.",[안전],1,민감성,없음
화이트루핀씨오일,"화이트루핀씨오일은 보습과 영양 공급에 탁월한 식물성 오일로, 피부 장벽 강화에 도움을 줍니다. 항산화 성분이 풍부해 노화 방지 효과가 있으며, 민감성 피부에도 안전하게 사용 가능합니다. 알러지 반응이 드물지만, 처음 사용 시 패치 테스트를 권장합니다.",,,민감성,드물게 알레르기
화이트루핀단백질,"화이트루핀단백질(Lupinus Albus Protein)은 피부와 모발을 보호하고 강화하는 데 사용됩니다. 보습 효과가 뛰어나고 피부 장벽을 개선하며, 머릿결을 부드럽게 만들어줍니다. 알레르기 반응이 있을 수 있으니 민감성 피부는 주의가 필요합니다.",,,민감성,알레르기
화이트루버빈추출물,화이트루버빈추출물(랜드로피아 오와리엔시스 추출물)은 주로 피부 진정 및 보습에 사용됩니다. 자연 유래 성분으로 피부 자극을 완화하고 수분을 공급하여 피부 건강을 촉진하는 데 도움을 줍니다. 일부 민감성 피부에서는 알레르기 반응이 있을 수 있습니다.,,,민감성,알레르기
화염목꽃추출물,"화염목꽃추출물은 강력한 항산화 작용을 하여 피부 노화 방지에 도움을 줄 수 있으며, 보습 및 진정 효과가 있어 화장품에 많이 사용됩니다. 민감성 피부도 사용할 수 있지만, 개인 차이가 있을 수 있으므로 패치 테스트가 권장됩니다.",,,민감성,없음
화산토추출물,화산토추출물은 피지 조절과 피부 정화에 효과적인 성분으로 알려져 있습니다. 미네랄이 풍부하여 모공을 수축시키고 피부 결을 개선하는 데 도움을 줍니다. 그러나 피부가 민감한 경우 자극이 있을 수 있으므로 사용 전 패치 테스트가 권장됩니다.,,,민감성,자극
화산토,화산토는 주로 피지 조절 및 청정 효과로 알려진 성분입니다. 미세 입자가 피부의 불순물을 흡착하고 모공을 청소하여 매끄러운 피부를 돕습니다. 하지만 민감성 피부에는 자극이 될 수 있으므로 주의가 필요합니다.,,,민감성,자극
화산재추출물,"화산재추출물은 피부 세정 및 각질 제거를 돕는 성분으로 알려져 있습니다. 모공 속 불순물을 흡착하여 피부를 깨끗하게 유지하는 데 유용하며, 피지 조절 및 여드름 예방에도 도움을 줄 수 있습니다. 민감성 피부에는 자극이 될 수 있으므로 주의가 필요합니다.",,,민감성,자극
화산재,화산재는 우수한 흡착력으로 피지 제거와 모공 정화에 도움을 줍니다. 피부 각질 제거와 안색 개선에 효과적입니다. 그러나 민감 피부에는 자극을 줄 수 있어 주의가 필요합니다. 대개 마스크팩이나 클렌저에 사용됩니다.,,,민감성,자극
화산암,"화산암은 피부 각질 제거 및 피지 흡착에 효과적인 천연 성분으로, 모공을 청소하고 피부를 매끄럽게 만드는 데 사용됩니다. 그러나 과도한 사용 시 피부 자극이 발생할 수 있어 주의가 필요합니다.",[안전],1,없음,자극
화산모래,"화산모래는 각질 제거에 탁월한 천연 스크럽 성분으로, 피부를 매끄럽고 깨끗하게 개선합니다. 모공 속 노폐물 제거에 효과적이며, 피부에 자극이 적어 부드럽게 사용 가능합니다. 단, 민감성 피부는 테스트 후 사용하는 것이 좋습니다.",,,민감성,없음
화남풍나무/풍나무수지오일,"화남풍나무/풍나무수지오일은 주로 보습과 항염 효과로 인해 사용됩니다. 피부 자극을 진정시키고 보호하는 데 도움을 줄 수 있으며, 아로마 테라피에서도 사용됩니다. 알레르기 반응이 있을 수 있으므로 패치 테스트가 권장됩니다.",,,민감성,알레르기
홍차잎가루,홍차잎가루는 항산화 성분이 풍부하여 피부 노화를 방지하고 진정 효과가 있어 화장품에 널리 사용됩니다. 피부 톤 개선과 건강한 윤기 제공에도 도움을 줄 수 있습니다. 알레르기 반응이 있을 수 있으니 사용 전 패치 테스트를 권장합니다.,[안전],1,민감성,알레르기
홍차잎,"홍차잎(카멜리아 시넨시스)의 추출물은 항염 및 항산화 효과로 피부를 보호하고 진정시키는데 사용됩니다. 노화 방지와 톤 개선에 도움을 줍니다. 민감한 피부에도 적합하지만, 카페인 함량이 높아 사용 시 주의가 필요할 수 있습니다.",,,민감성,고카페인 함량
홍차수,"홍차수(카멜리아 시넨시스 잎수)는 주로 항산화 및 항염 효과가 있는 성분으로, 피부를 진정시키고 수분을 공급하며 노화 방지에 도움을 줍니다. 민감한 피부에도 적합하나, 알레르기 반응이 있을 수 있어 주의가 필요합니다.",[안전],1,['민감성'],알레르기
홍지네고사리추출물,홍지네고사리추출물은 항산화 및 항염 효과로 알려져 있어 피부 진정과 보호에 도움을 줍니다. 주로 민감한 피부를 진정시키는 스킨케어 제품에 사용됩니다. 알레르기 반응이 드물게 있을 수 있으니 주의가 필요합니다.,,,민감성,드물게 알레르기
홍조류추출물,"홍조류추출물(Kousou Ekisu)은 피부 보습과 진정에 효과적인 항산화 성분을 제공합니다. 자극이 적어 민감한 피부에도 사용 가능하며, 주름 개선, 탄력 증진에도 도움을 줍니다. 화장품에서 주로 수분 공급 및 안티에이징 목적으로 사용됩니다.",,,민감성,없음
홍설차추출물,"홍설차추출물(Lethariella Cladonioides Extract)은 강력한 항산화 작용을 가지고 있어 피부 노화를 방지하고 탄력을 개선하는 데 도움이 됩니다. 또한, 피부 진정과 보습에도 효과적이며, 자연 유래 성분으로 민감한 피부에 적합합니다.",,,민감성,없음
홍삼추출물,"홍삼추출물은 피부 미백과 주름 개선에 도움을 줄 수 있는 성분으로, 항산화 작용을 통해 피부 보호 효과를 제공한다. 또한 혈액순환을 촉진하여 피부 활력을 증진시키며, 보습력을 높이는 데 기여할 수 있다.",,,없음,없음
홍삼오일,홍삼오일(인삼 뿌리 오일)은 항산화와 항염 특성으로 피부 건강을 촉진하고 노화 징후를 완화하는 데 도움을 줍니다. 또한 보습 효과로 피부 수분 유지에 기여합니다. 그러나 민감 피부에는 자극을 줄 수 있으니 사용 전 패치 테스트가 권장됩니다.,,,민감성,자극
홍삼수,"홍삼수(홍삼 뿌리 물)는 항산화 성분이 풍부하여 피부 노화를 방지하고 탄력을 개선하는 데 도움을 줍니다. 보습 효과가 뛰어나 건조한 피부에 유리하며, 피부 톤을 밝게 하고 건강한 빛을 더하는 데 자주 사용됩니다.",,,없음,없음
홍삼가루,홍삼가루는 피부 재생과 탄력 개선에 도움을 주는 한방 성분입니다. 산화 방지 및 항염 효과가 있어 노화 방지와 피부 톤 개선에 광범위하게 사용됩니다. 그러나 일부 민감한 피부에는 자극을 줄 수 있으니 패치 테스트가 권장됩니다.,,,민감성,자극
홍삼/로얄젤리추출물,"홍삼/로얄젤리추출물은 피부에 영양을 공급하고 탄력을 개선하는 데 도움을 줍니다. 홍삼은 주름 개선과 미백 효과가 있으며, 로얄젤리는 피부 보습과 회복을 촉진합니다. 민감한 피부에는 주의가 필요할 수 있습니다.",,,민감성,없음
홍삼/녹용추출물,"홍삼/녹용추출물은 피부에 활력을 주고 재생을 촉진하는 데 도움이 됩니다. 홍삼은 항산화 및 항염 효과가 있으며, 녹용은 보습과 탄력을 향상시킵니다. 민감성 피부에는 주의가 필요할 수 있습니다.",,,민감성,없음
홍삼,"홍삼 (Panax Ginseng Root)은 주로 항산화 및 피부 생기를 위한 화장품 성분으로 사용됩니다. 피부 톤을 개선하고 주름을 줄이며, 피부 탄력을 높이는 데 도움이 됩니다. 단, 일부 사람에게는 자극을 줄 수 있으므로 민감성 피부는 주의가 필요합니다.",,,민감성,자극
홍만병초추출물,"홍만병초추출물은 항염 및 항산화 효과가 있는 성분으로, 피부 진정 및 보습에 도움을 줍니다. 주로 화장품의 활성 성분으로 사용되며, 민감성 피부에도 적합하지만 개인에 따라 알레르기 반응이 있을 수 있어 주의가 필요합니다.",,,민감성,알레르기
홍두뿌리추출물,홍두뿌리추출물은 피부 진정과 항염 효과가 있어 스킨케어 제품에 사용됩니다. 항산화 성분이 함유되어 피부 노화 방지에 도움을 줄 수 있습니다. 하지만 일부 사람들에게는 알러지 반응을 유발할 수 있어 주의가 필요합니다.,,,민감성,알레르기 유발
홍두분열조직세포배양추출물,"홍두분열조직세포배양추출물은 피부 탄력 개선과 보습에 도움을 주는 성분으로, 항산화 효과가 있어 노화 방지에 기여합니다. 단, 알러지 반응을 일으킬 수 있으니 민감성 피부는 주의가 필요합니다.",,,민감성,알러지
홍대극,"홍대극(사파이어 플랜트, Knoxiae Radix)은 전통 한방에서 사용되는 약초로 피부 진정 및 항염 효과가 있습니다. 자극받은 피부를 완화하며, 붉은 기를 줄이는 데 도움을 줍니다. 하지만 고농도로 사용 시 피부 자극 우려가 있으므로 주의가 필요합니다.",,,민감성,고농도시 주의
홋카이도아칸클레이,"홋카이도아칸클레이는 일본 홋카이도의 아칸 지역에서 채취된 천연 점토로, 피부에 불필요한 기름과 노폐물을 흡착해 모공을 청정하게 해줍니다. 또한 피부의 각질을 부드럽게 제거하고, 미네랄 성분이 피부에 영양을 공급하는 데 도움을 줍니다.",,,없음,없음
홀아비꽃대추출물,"홀아비꽃대추출물은 주로 항산화, 항염 작용으로 피부 진정과 보호에 효과가 있으며, 피부 탄력 개선에도 도움을 줄 수 있습니다. 전통적으로 한방에서 피부 질환 완화에 사용되어왔으며, 특정 피부에 알레르기 반응이 있을 수 있으니 주의가 필요합니다.",,,민감성,알레르기
홀리바질추출물,"홀리바질추출물은 항산화 및 항염 효과가 있어 피부 진정과 염증 완화에 도움을 줍니다. 또한 노화를 지연시키고 피부 톤을 개선하는 데 유용하며, 일반적으로 민감한 피부에도 안전한 성분으로 평가받고 있습니다.",[안전],1,없음,없음
홀리바질잎추출물,"홀리바질잎추출물은 주로 항산화, 항염 및 항균 효과로 화장품에 사용됩니다. 피부를 진정시키고 보호하며, 트러블 완화에 도움을 줄 수 있습니다. 민감한 피부에도 적합하나, 개인 차에 따라 알레르기 반응이 있을 수 있습니다.",,,민감성,알레르기
홀리바질잎가루,"홀리바질잎가루(두툭한 잎가루)는 피부 진정 및 보습 효과가 뛰어난 자연 성분이며, 항산화 성분이 풍부해 피부 건강 개선에 도움을 줍니다. 그러나 민감한 피부에는 알러지 반응을 일으킬 수 있으니 사용 전 패치 테스트가 권장됩니다.",,,민감성,알러지
홀리바질오일,"홀리바질오일(Ocimum Tenuiflorum Oil)은 피부 진정 및 항산화 효과가 뛰어난 천연 오일입니다. 항균 및 항염 성분이 있어 여드름 피부 관리에 유용하며, 스트레스 완화에 도움을 줄 수 있습니다. 하지만 알레르기 반응이 있을 수 있으니 주의가 필요합니다.",[안전],1,민감성,알레르기
혼합터펜,"혼합터펜은 식물에서 추출되는 방향성 화학물질 혼합물로, 주로 향료나 보존제로 사용됩니다. 항염 및 항균 효과가 있어 화장품에서 활성 성분으로 유용합니다. 그러나 일부는 피부 자극을 일으킬 수 있으므로 민감한 피부는 주의가 필요합니다.",[안전],1,민감성,자극
혼합크레졸,"혼합크레졸은 주로 살균 및 방부제로 사용되며, 화장품에서 제품의 유효기간 연장에 기여합니다. 그러나 피부 자극을 유발할 수 있어 민감한 피부를 가진 사람들은 주의가 필요합니다. 적절한 농도에서 사용이 권장됩니다.",,,민감성,자극
혼합아이오논,"혼합아이오논은 주로 향수 및 화장품에 사용되는 향료 성분입니다. 자연의 꽃향기를 모방해 상쾌하면서도 부드러운 향을 제공합니다. 일반적으로 피부 자극성이 낮아 안전하게 사용되지만, 민감한 피부에는 알레르기 반응을 일으킬 수 있습니다.",[안전],1,민감성,알레르기
혼합글리세릴스테아레이트,"혼합글리세릴스테아레이트는 주로 유화제로 사용되며, 수분 증발을 막아 피부를 부드럽게 유지하는 데 도움을 줍니다. 피부 자극이 거의 없고 일반적으로 안전하게 사용되지만, 민감한 피부에서는 테스트 후 사용하는 것이 좋습니다.",,,민감성,없음
혼합과일산,"혼합과일산은 다양한 과일에서 추출한 산 성분으로, 주로 각질 제거 및 피부 결 개선에 사용됩니다. 천연 유래 성분으로 피부를 부드럽고 매끄럽게 만들어 주며, 민감한 피부에는 자극이 될 수 있으므로 주의가 필요합니다.",,,민감성,자극
호호바잎추출물,"호호바잎추출물은 주로 피부 진정과 보습 효과로 알려져 있으며, 항산화 성분이 피부를 보호하는 데 도움을 줍니다. 민감한 피부에도 적합하여 다양한 스킨케어 제품에 사용됩니다. 광범위한 부작용 보고는 드뭅니다.",[안전],1,민감성,없음
호호바왁스피이지-80에스터,"호호바왁스피이지-80에스터는 화장품에서 보습제와 유화제로 사용됩니다. 가벼운 질감으로 피부에 쉽게 흡수되며, 수분을 유지하는 데 도움을 줍니다. 피부 자극 가능성이 낮아 민감성 피부에도 적합하지만, 개인 차가 있을 수 있습니다.",,,민감성,없음
호호바왁스피이지-120에스터,"호호바왁스피이지-120에스터는 피부와 모발에 보습을 주는 에몰리엔트로 사용됩니다. 가벼운 사용감과 피부 친화성이 높아 화장품과 헤어 제품에 적합합니다. 일반적으로 안전하나, 민감한 피부는 성분 테스트 후 사용하는 것이 좋습니다.",,,민감성,없음
호호바오일피이지-8에스터,"호호바오일피이지-8에스터는 호호바 오일과 폴리에틸렌 글리콜의 에스터로, 피부에 부드럽게 발리며 수분을 공급하는 역할을 합니다. 주로 보습제나 유화제로 사용되며, 민감한 피부에도 적합한 저자극 성분으로 인식됩니다.",,,민감성,없음
호호바오일피이지-150에스터,"호호바오일피이지-150에스터는 호호바 오일과 폴리에틸렌글리콜(PEG)의 에스터로, 주로 화장품에서 유화제 및 보습제로 사용됩니다. 피부에 수분을 공급하며, 사용감이 가볍고 끈적임이 적어 다양한 제품에 적합합니다. 그러나 PEG 성분은 일부에서 피부 자극을 유발할 수 있습니다.",[안전],1-2,없음,피부 자극
호호바오일/퀸즈랜드넛오일에스터,호호바오일/퀸즈랜드넛오일에스터는 피부 보습 및 영양 공급에 탁월한 성분입니다. 가벼운 질감으로 피부에 빠르게 흡수되어 끈적임 없이 부드럽게 유지시켜줍니다. 피부 장벽 강화 및 회복에 도움을 주며 민감한 피부에도 적합합니다.,[안전],1,민감성,없음
호호바에스터,"호호바에스터는 피부 보습 및 연화제로 자주 사용되며, 오일보다 산화에 강해 안정성이 높습니다. 모든 피부 타입에 적합하며, 특히 민감성 피부에 유익합니다. 항산화 및 항염 효과도 있어 피부 건강을 돕습니다. 일반적으로 자극이 적어 안전합니다.",[안전],1,없음,없음
호호바알코올,"호호바알코올은 호호바 오일에서 유래한 지방 알코올로, 보습 효과가 뛰어나고 피부에 부드러운 질감을 제공합니다. 일반적으로 피부의 수분 보호막을 형성하여 건조함을 예방하며, 안정성이 높아 다양한 화장품에 사용됩니다.",,,없음,없음
호호바아미노산,"호호바아미노산은 천연 호호바 오일에서 추출된 아미노산으로, 피부 보습과 보호에 도움을 줍니다. 피부 장벽을 강화하고 유수분 균형을 잡아주며, 부드러운 사용감을 제공합니다. 자극이 적어 민감한 피부에도 사용이 가능합니다.",,,없음,없음
호호바씨추출물,"호호바씨추출물은 피부 보습과 진정에 효과적인 성분으로, 천연 유사 피지막을 형성해 수분을 유지하고 피부 장벽을 강화합니다. 항염 효과가 있어 여드름 피부에 유익하며, 일반적으로 안전하지만 일부 민감한 피부에는 자극이 있을 수 있습니다.",[안전],1,민감성,자극
호호바씨왁스,"호호바씨왁스는 주로 보습제와 피부 컨디셔닝제로 사용됩니다. 피부에 수분 보호막을 형성하여 촉촉함을 유지시키고, 끈적임 없이 부드럽게 흡수됩니다. 또한, 민감성 피부에도 적합하며 여드름을 유발하지 않아 다양한 제품에 활용됩니다.",,,민감성,없음
호호바씨오일,"호호바씨오일은 피부 보습과 유연함을 제공하는 뛰어난 성분입니다. 피부에 쉽게 흡수되어 모공을 막지 않으며, 비타민 E가 풍부해 항산화 작용을 돕습니다. 지성 피부에도 적합하며, 자극이 적어 민감한 피부에 사용하기 좋습니다.",[안전],1,없음,없음
호호바씨수,"호호바씨수는 보습효과가 뛰어난 천연성분으로, 피부와 유사한 구조의 오일을 함유하고 있어 피부에 잘 흡수되고 피지 조절에 도움을 줍니다. 민감성 피부에도 적합하며, 피부 장벽 강화를 돕고 피부를 유연하고 촉촉하게 유지하는 데 효과적입니다.",,,민감성,없음
호호바씨가루,"호호바씨가루는 피부 각질 제거 및 클렌징 효과가 뛰어난 천연 스크럽 성분입니다. 비타민과 미네랄이 풍부하여 피부 보습과 진정에도 도움을 줍니다. 민감한 피부에도 적합하나, 개별 피부 상태에 따라 알레르기 반응을 체크하는 것이 좋습니다.",,,민감성,알레르기
호호바버터,"호호바버터는 뛰어난 보습 효과로 피부의 수분 유지에 도움을 주며, 민감한 피부에도 적합합니다. 항산화 성분을 포함하고 있어 피부 보호에 기여하고, 피부 탄력 개선에도 유용합니다. 알레르기 반응은 드물게 발생할 수 있습니다.",,,민감성,드물게 알레르기
호프콘추출물,"호프콘추출물은 주로 피부 진정 및 항균 효과로 알려져 있으며, 항산화 특성을 통해 피부 노화를 방지하는 데 도움이 됩니다. 또한 피지 조절과 모공 개선에 유익하지만, 민감한 피부에는 자극을 줄 수 있으므로 주의가 필요합니다.",,,민감성,자극
호프콘오일,호프콘오일(홉 오일)은 항균 및 항염 특성이 있어 피부 진정과 건강을 유지하는 데 도움을 줍니다. 노화 방지와 보습 효과도 있어 화장품에 사용됩니다. 일부 민감한 피부에는 자극이 있을 수 있으니 주의가 필요합니다.,,,민감성,자극
호프추출물,"호프추출물(호프)은 항산화 및 항염 효과로 피부 진정과 보호에 도움을 줄 수 있습니다. 주름 개선과 피부 탄력 증진에 기여하며, 보습력도 있어 건조한 피부에 유용합니다. 단, 민감한 피부는 테스트 후 사용하는 것이 좋습니다.",,,민감성,없음
호프줄기추출물,"호프줄기추출물은 피부 진정 및 항염 효과를 제공하며 항산화 특성으로 노화 방지에 도움을 줍니다. 촉촉함을 유지하는 데 기여하지만, 민감한 피부에는 자극이 될 수 있어 패치 테스트가 권장됩니다.",,,민감성,자극
호프꽃추출물,"호프꽃추출물은 항균 및 항염 효과가 있어 피부 진정에 도움을 줄 수 있습니다. 항산화 성분이 함유되어 있어 피부 노화 방지에 기여하며, 피지 조절을 통해 여드름 완화에도 유용합니다. 알레르기 반응이 있을 수 있으므로 패치 테스트가 권장됩니다.",[안전],1,민감성,알레르기
호프,"호프(홉, Humulus Lupulus)는 주로 피부 진정과 항염 효과로 알려진 성분입니다. 항산화 성분이 풍부하며, 피부 장벽 강화 및 과도한 피지 조절에 도움이 됩니다. 다만 드물게 피부 자극을 일으킬 수 있어 민감성 피부 사용 시 주의가 필요합니다.",,,민감성,드물게 피부 자극
호주핑거라임열매추출물,호주핑거라임열매추출물은 풍부한 비타민 C와 항산화제를 함유하여 피부를 밝게 하고 탄력을 개선하는 데 도움을 줍니다. 피부 진정 및 수분 공급 효과도 있어 화장품에서 광범위하게 사용됩니다. 그러나 민감 피부에는 알러지 반응이 있을 수 있습니다.,[안전],1,민감성,알레르기
호주핑거라임씨오일,호주핑거라임씨오일은 보습과 피부 진정에 도움을 주며 항염 효과가 있어 민감한 피부에도 적합합니다. 항산화 성분이 풍부하여 피부 노화 방지에 효과적입니다. 드물게 알레르기 반응 가능성이 있으므로 패치 테스트 권장합니다.,,,민감성,드물게 알레르기
호제비꽃추출물,"호제비꽃추출물은 주로 피부 진정과 항염 효과로 알려져 있으며, 민감한 피부를 가꾸는 데 유용합니다. 항산화 성분이 함유되어 있어 피부 노화 방지에도 도움을 줄 수 있지만, 알레르기 반응 여부를 피부 테스트를 통해 확인하는 것이 좋습니다.",,,민감성,알레르기
호장근추출물,"호장근추출물은 주로 항산화 작용으로 피부 노화 방지에 도움을 주며, 항염 효과로 문제성 피부 진정에 유용합니다. 레스베라트롤 함유로 미백 기능도 있지만, 민감 피부엔 자극이 될 수 있으므로 주의가 필요합니다.",[안전],1,민감성,자극
호장근뿌리추출물,"호장근뿌리추출물은 강력한 항산화 효과를 지닌 성분으로, 주로 피부의 노화 방지와 염증 완화에 사용됩니다. 피부 톤 개선 및 보호 기능을 제공하며, 자극이 적어 다양한 피부 타입에 적합합니다.",[안전],1,없음,없음
호오스티슈추출물,"호오스티슈추출물은 흔히 콜라겐 생성 및 피부 재생 촉진에 사용됩니다. 주로 안티에이징 제품에 포함되며, 피부 탄력을 개선하고 주름을 감소시키는 데 도움을 줄 수 있습니다. 그러나 알레르기 반응을 유발할 수 있으므로 주의가 필요합니다.",,,민감성,알레르기 유발
호야잎추출물,"호야잎추출물은 보습 및 항산화 효과가 있어 피부를 촉촉하고 건강하게 유지하는 데 도움을 줍니다. 또한 피부 진정에 유익하지만, 민감한 피부는 알레르기 반응을 주의해야 합니다. 고유의 성분으로 피부 개선을 위한 천연 화장품에 자주 사용됩니다.",,,민감성,알레르기
호야잎/줄기추출물,호야잎/줄기추출물은 주로 진정 및 항염 효과를 가지고 있어 민감성 피부에 도움이 됩니다. 또한 보습 성분이 있어 피부를 촉촉하게 유지하는 데 기여합니다. 그러나 알레르기 반응이 있을 수 있으므로 테스트 후 사용하는 것이 좋습니다.,,,민감성,알레르기
호야 라쿠노사꽃추출물,"호야 라쿠노사꽃추출물은 피부를 진정시키고 보습을 돕는 효과로 알려져 있는 성분입니다. 항산화 특성이 있어 피부 노화를 방지하는 데 기여할 수 있으며, 일반적으로 자극이 적어 대부분 피부 타입에 안전하게 사용됩니다.",,,없음,없음
호스테일켈프추출물,"호스테일켈프추출물(라미나리아 디지타타 추출물)은 피부 보습과 탄력 개선에 도움을 주며, 항산화 효과로 피부 건강을 증진시킵니다. 알긴산이 풍부하여 수분을 공급하고, 민감한 피부에도 자극이 적어 화장품에 널리 사용됩니다.",[주의],1-3,없음,없음
